n,k,Block Size,CPU Time (ms),CPU GFLOPS,CUDA Time (ms),CUDA GFLOPS,Max Error,Within Tolerance
512,32,16,1.727,9.71,0.036864,455.11,3e-06,True
512,48,16,1.806,13.93,0.030368,828.7,4e-06,True
512,64,16,2.493,13.46,0.029472,1138.52,6e-06,True
512,96,16,3.778,13.32,0.038176,1318.41,1e-05,True
512,128,16,5.254,12.77,0.040512,1656.52,1.1e-05,False
1024,32,16,7.322,9.17,0.043616,1538.63,4e-06,True
1024,48,16,10.216,9.85,0.053696,1874.69,5e-06,True
1024,64,16,13.336,10.06,0.066304,2024.28,6e-06,True
1024,96,16,16.167,12.45,0.091424,2202.12,1e-05,True
1024,128,16,24.898,10.78,0.10736,2500.33,1.1e-05,False
2048,32,16,27.796,9.66,0.11792,2276.42,4e-06,True
2048,48,16,39.397,10.22,0.159136,2530.25,6e-06,True
2048,64,16,53.654,10.01,0.204576,2624.31,6e-06,True
2048,96,16,73.651,10.93,0.298112,2701.36,1e-05,True
2048,128,16,95.271,11.27,0.379264,2831.12,1.1e-05,False
4096,32,16,124.232,8.64,0.416512,2577.94,4e-06,True
4096,48,16,168.387,9.56,0.575872,2796.82,6e-06,True
4096,64,16,210.254,10.21,0.75312,2851.45,6e-06,True
4096,96,16,292.851,11.0,1.098368,2932.74,1e-05,True
4096,128,16,376.497,11.41,1.446208,2969.81,1.5e-05,False
512,32,32,1.769,9.48,0.0328,511.5,3e-06,True
512,48,32,1.82,13.83,0.026272,957.9,4e-06,True
512,64,32,2.532,13.25,0.030304,1107.26,8e-06,True
512,96,32,3.828,13.15,0.031072,1619.84,8e-06,True
512,128,32,5.246,12.79,0.040032,1676.38,1.1e-05,False
1024,32,32,7.301,9.19,0.04096,1638.4,4e-06,True
1024,48,32,10.286,9.79,0.062624,1607.42,5e-06,True
1024,64,32,13.36,10.05,0.064992,2065.14,8e-06,True
1024,96,32,19.241,10.46,0.07872,2557.5,8e-06,True
1024,128,32,24.394,11.0,0.102976,2606.78,1.5e-05,False
2048,32,32,27.887,9.63,0.109984,2440.68,4e-06,True
2048,48,32,41.984,9.59,0.19328,2083.26,4e-06,True
2048,64,32,53.487,10.04,0.19568,2743.62,6e-06,True
2048,96,32,71.236,11.3,0.27152,2965.92,1e-05,True
2048,128,32,95.032,11.3,0.351168,3057.63,1.1e-05,False
4096,32,32,125.146,8.58,0.389216,2758.73,4e-06,True
4096,48,32,168.795,9.54,0.70496,2284.69,6e-06,True
4096,64,32,210.306,10.21,0.714848,3004.11,8e-06,True
4096,96,32,294.932,10.92,1.012192,3182.43,1.1e-05,False
4096,128,32,380.705,11.28,1.308576,3282.17,1.5e-05,False
512,32,8,1.736,9.66,0.04096,409.6,3e-06,True
512,48,8,1.837,13.7,0.0344,731.56,5e-06,True
512,64,8,2.514,13.35,0.037728,889.38,6e-06,True
512,96,8,3.835,13.12,0.04144,1214.57,8e-06,True
512,128,8,5.264,12.75,0.054112,1240.18,1.1e-05,False
1024,32,8,7.285,9.21,0.053824,1246.82,4e-06,True
1024,48,8,10.479,9.61,0.071456,1408.75,5e-06,True
1024,64,8,13.59,9.88,0.093664,1432.97,6e-06,True
1024,96,8,19.307,10.43,0.127008,1585.15,1e-05,True
1024,128,8,24.672,10.88,0.158784,1690.57,1.1e-05,False
2048,32,8,28.359,9.47,0.168768,1590.56,4e-06,True
2048,48,8,42.842,9.4,0.232896,1728.9,6e-06,True
2048,64,8,53.745,9.99,0.309088,1736.95,8e-06,True
2048,96,8,74.177,10.86,0.445568,1807.37,1e-05,True
2048,128,8,95.251,11.27,0.595936,1801.77,1.5e-05,False
4096,32,8,126.547,8.48,0.62624,1714.59,4e-06,True
4096,48,8,169.4,9.51,0.869024,1853.36,6e-06,True
4096,64,8,210.922,10.18,1.185376,1811.65,8e-06,True
4096,96,8,295.283,10.91,1.742816,1848.29,1e-05,True
4096,128,8,379.511,11.32,2.29888,1868.29,1.5e-05,False
